"id","publication_year","type","cited_by_count","is_oa","oa_status"
"https://openalex.org/W2886975879",2018,"article",354,TRUE,"green"
"https://openalex.org/W2581658282",2017,"article",352,TRUE,"green"
"https://openalex.org/W2925658181",2019,"article",350,FALSE,"closed"
"https://openalex.org/W2292814759",2016,"article",349,FALSE,"closed"
"https://openalex.org/W3038080478",2020,"article",349,TRUE,"bronze"
"https://openalex.org/W2612302069",2017,"article",348,FALSE,"closed"
"https://openalex.org/W2153853635",2015,"article",343,TRUE,"bronze"
"https://openalex.org/W3095553850",2020,"article",343,FALSE,"closed"
"https://openalex.org/W2538402389",2016,"article",342,TRUE,"green"
"https://openalex.org/W803521263",2017,"book",341,FALSE,"closed"
"https://openalex.org/W2754275691",2017,"article",340,TRUE,"gold"
"https://openalex.org/W2769376371",2017,"article",340,TRUE,"bronze"
"https://openalex.org/W2995057720",2019,"article",339,TRUE,"green"
"https://openalex.org/W3038783435",2020,"article",339,FALSE,"closed"
"https://openalex.org/W2299251378",2016,"article",338,TRUE,"green"
"https://openalex.org/W3045880340",2020,"article",338,TRUE,"hybrid"
"https://openalex.org/W4244932993",2018,"book-chapter",337,FALSE,"closed"
"https://openalex.org/W2744084279",2017,"article",336,TRUE,"hybrid"
"https://openalex.org/W2292946141",2016,"article",335,FALSE,"closed"
"https://openalex.org/W2525128349",2016,"article",335,TRUE,"gold"
"https://openalex.org/W3014214532",2020,"article",332,TRUE,"hybrid"
"https://openalex.org/W2802859888",2018,"article",331,TRUE,"green"
"https://openalex.org/W2893745569",2018,"article",329,TRUE,"bronze"
"https://openalex.org/W2744358282",2017,"article",328,TRUE,"green"
"https://openalex.org/W2765432080",2017,"article",328,TRUE,"gold"
"https://openalex.org/W2805019964",2018,"article",328,TRUE,"green"
"https://openalex.org/W3045022196",2020,"article",327,TRUE,"bronze"
"https://openalex.org/W2528460815",2016,"article",326,FALSE,"closed"
"https://openalex.org/W618376376",2015,"article",323,FALSE,"closed"
"https://openalex.org/W2194639475",2015,"article",322,FALSE,"closed"
"https://openalex.org/W2550207834",2016,"article",321,TRUE,"gold"
"https://openalex.org/W2557835795",2016,"article",320,TRUE,"gold"
"https://openalex.org/W2921821926",2019,"article",320,FALSE,"closed"
"https://openalex.org/W3085114106",2020,"article",318,TRUE,"gold"
"https://openalex.org/W2010532707",2015,"article",316,FALSE,"closed"
"https://openalex.org/W3025028506",2020,"article",316,TRUE,"green"
"https://openalex.org/W2179884416",2015,"article",313,TRUE,"bronze"
"https://openalex.org/W2735740554",2017,"article",313,TRUE,"bronze"
"https://openalex.org/W2791123199",2018,"article",313,TRUE,"green"
"https://openalex.org/W2911353037",2019,"article",313,FALSE,"closed"
"https://openalex.org/W3175139132",2021,"article",313,TRUE,"green"
"https://openalex.org/W2122200712",2015,"article",312,TRUE,"bronze"
"https://openalex.org/W2806261660",2018,"article",312,TRUE,"bronze"
