"year","oa_type","value","pc"
2012,"bronze",8,0.05697599886048
2012,"closed",47,0.33473399330532
2012,"gold",8,0.05697599886048
2012,"hybrid",7,0.04985399900292
2012,"green",3,0.02136599957268
2012,"bronze",2,0.01424399971512
2012,"closed",160,1.1395199772096
2012,"gold",40,0.2848799943024
2012,"hybrid",19,0.13531799729364
2012,"green",11,0.07834199843316
2012,"bronze",6,0.04273199914536
2012,"closed",186,1.32469197350616
2012,"gold",36,0.25639199487216
2012,"hybrid",16,0.11395199772096
2012,"green",12,0.08546399829072
2012,"bronze",8,0.05697599886048
2012,"closed",146,1.03981197920376
2012,"gold",49,0.34897799302044
2012,"hybrid",39,0.27775799444484
2012,"green",10,0.0712199985756
2012,"bronze",8,0.05697599886048
2012,"closed",164,1.16800797663984
2012,"gold",66,0.47005199059896
2012,"hybrid",34,0.24214799515704
2012,"green",16,0.11395199772096
2012,"bronze",8,0.05697599886048
2012,"closed",46,0.32761199344776
2012,"gold",14,0.09970799800584
2012,"hybrid",5,0.0356099992878
2012,"green",4,0.02848799943024
2012,"bronze",3,0.02136599957268
2012,"closed",0,0
2012,"gold",0,0
2012,"hybrid",0,0
2012,"green",0,0
2012,"bronze",0,0
2012,"closed",37,0.26351399472972
2012,"gold",11,0.07834199843316
2012,"hybrid",8,0.05697599886048
2012,"green",3,0.02136599957268
2012,"bronze",1,0.00712199985756
2012,"closed",19,0.13531799729364
2012,"gold",7,0.04985399900292
2012,"hybrid",6,0.04273199914536
2012,"green",1,0.00712199985756
2012,"bronze",0,0
2013,"closed",2712,17.7591513325912
2013,"gold",466,3.05153559033462
2013,"hybrid",414,2.71102088926724
2013,"green",359,2.35086110929212
2013,"bronze",164,1.07393098028944
2013,"closed",645,4.22369196516273
2013,"gold",109,0.713771200314321
2013,"hybrid",77,0.504223691965163
2013,"green",73,0.478030253421518
2013,"bronze",24,0.157160631261869
2013,"closed",611,4.00104773754175
2013,"gold",132,0.864383471940279
2013,"hybrid",104,0.681029402134765
2013,"green",57,0.373256499246939
2013,"bronze",24,0.157160631261869
2013,"closed",1029,6.73826206535263
2013,"gold",171,1.11976949774082
2013,"hybrid",145,0.949512147207125
2013,"green",109,0.713771200314321
2013,"bronze",46,0.301224543251915
2013,"closed",1161,7.60264553729291
2013,"gold",177,1.15905965555628
2013,"hybrid",167,1.09357605919717
2013,"green",75,0.49112697269334
2013,"bronze",27,0.176805710169603
2013,"closed",903,5.91316875122782
2013,"gold",198,1.29657520791042
2013,"hybrid",145,0.949512147207125
2013,"green",113,0.739964638857966
2013,"bronze",54,0.353611420339205
2013,"closed",223,1.4602841988082
2013,"gold",58,0.37980485888285
2013,"hybrid",36,0.235740946892803
2013,"green",32,0.209547508349159
2013,"bronze",13,0.0851286752668457
2013,"closed",1667,10.916115513064
2013,"gold",375,2.4556348634667
2013,"hybrid",336,2.20024883766616
2013,"green",213,1.39480060244909
2013,"bronze",117,0.766158077401611
2013,"closed",209,1.36860716390544
2013,"gold",61,0.399449937790583
2013,"hybrid",46,0.301224543251915
2013,"green",32,0.209547508349159
2013,"bronze",8,0.0523868770872896
2013,"closed",49,0.320869622159649
2013,"gold",17,0.11132211381049
2013,"hybrid",15,0.0982253945386681
2013,"green",6,0.0392901578154672
2013,"bronze",6,0.0392901578154672
2013,"closed",149,0.975705585750769
2013,"gold",29,0.189902429441425
2013,"hybrid",21,0.137515552354135
2013,"green",13,0.0851286752668457
2013,"bronze",8,0.0523868770872896
2013,"closed",162,1.06083426101762
2013,"gold",38,0.248837666164626
2013,"hybrid",33,0.21609586798507
2013,"green",24,0.157160631261869
2013,"bronze",6,0.0392901578154672
2013,"closed",138,0.903673629755746
2013,"gold",58,0.37980485888285
2013,"hybrid",45,0.294676183616004
2013,"green",28,0.183354069805514
