"year","institution","oa_type","value","pc"
2017,"Auckland University of Technology","bronze",51,3.75552282768778
2017,"University of Waikato","closed",720,57.5079872204473
2017,"University of Waikato","gold",227,18.1309904153355
2017,"University of Waikato","hybrid",157,12.5399361022364
2017,"University of Waikato","green",91,7.26837060702875
2017,"University of Waikato","bronze",57,4.55271565495208
2017,"Massey University","closed",1187,60.6230847803881
2017,"Massey University","gold",297,15.1685393258427
2017,"Massey University","hybrid",181,9.244126659857
2017,"Massey University","green",177,9.03983656792646
2017,"Massey University","bronze",116,5.9244126659857
2017,"Victoria University of Wellington","closed",1196,62.6506024096386
2017,"Victoria University of Wellington","gold",250,13.0958617077004
2017,"Victoria University of Wellington","hybrid",196,10.2671555788371
2017,"Victoria University of Wellington","green",181,9.48140387637507
2017,"Victoria University of Wellington","bronze",86,4.50497642744893
2017,"University of Canterbury","closed",781,54.3115438108484
2017,"University of Canterbury","gold",220,15.2990264255911
2017,"University of Canterbury","hybrid",211,14.673157162726
2017,"University of Canterbury","green",124,8.6230876216968
2017,"University of Canterbury","bronze",102,7.09318497913769
2017,"Lincoln University","closed",252,56.6292134831461
2017,"Lincoln University","gold",74,16.6292134831461
2017,"Lincoln University","hybrid",44,9.8876404494382
2017,"Lincoln University","green",39,8.76404494382022
2017,"Lincoln University","bronze",36,8.08988764044944
2017,"University of Otago","closed",1797,53.9801742264944
2017,"University of Otago","gold",591,17.7530790027035
2017,"University of Otago","hybrid",447,13.4274556924001
2017,"University of Otago","green",317,9.52237909282067
2017,"University of Otago","bronze",177,5.31691198558125
2018,"University of Auckland","closed",2801,55.941681645696
2018,"University of Auckland","gold",781,15.5981625723986
2018,"University of Auckland","hybrid",606,12.1030557219892
2018,"University of Auckland","green",562,11.2242859996006
2018,"University of Auckland","bronze",257,5.13281406031556
2018,"Auckland University of Technology","closed",816,58.2025677603424
2018,"Auckland University of Technology","gold",238,16.9757489300999
2018,"Auckland University of Technology","hybrid",187,13.3380884450785
2018,"Auckland University of Technology","green",120,8.55920114122682
2018,"Auckland University of Technology","bronze",41,2.9243937232525
2018,"University of Waikato","closed",578,55.9535333978703
2018,"University of Waikato","gold",211,20.4259438528558
2018,"University of Waikato","hybrid",124,12.0038722168441
2018,"University of Waikato","green",68,6.58276863504356
2018,"University of Waikato","bronze",52,5.03388189738625
2018,"Massey University","closed",977,55.3227633069083
2018,"Massey University","gold",331,18.7429218573046
2018,"Massey University","hybrid",184,10.4190260475651
2018,"Massey University","green",181,10.2491506228766
2018,"Massey University","bronze",93,5.26613816534541
2018,"Victoria University of Wellington","closed",1134,59.9365750528541
2018,"Victoria University of Wellington","gold",282,14.9048625792812
2018,"Victoria University of Wellington","hybrid",223,11.7864693446089
2018,"Victoria University of Wellington","green",169,8.9323467230444
2018,"Victoria University of Wellington","bronze",84,4.43974630021142
2018,"University of Canterbury","closed",785,52.7199462726662
2018,"University of Canterbury","gold",245,16.45399597045
2018,"University of Canterbury","hybrid",243,16.3196776359973
2018,"University of Canterbury","green",149,10.0067159167226
2018,"University of Canterbury","bronze",67,4.49966420416387
2018,"Lincoln University","closed",226,53.5545023696682
2018,"Lincoln University","gold",84,19.9052132701422
2018,"Lincoln University","hybrid",40,9.47867298578199
2018,"Lincoln University","green",39,9.24170616113744
2018,"Lincoln University","bronze",33,7.81990521327014
2018,"University of Otago","closed",1760,51.5373352855051
2018,"University of Otago","gold",663,19.4143484626647
2018,"University of Otago","hybrid",480,14.0556368960469
2018,"University of Otago","green",327,9.57540263543192
2018,"University of Otago","bronze",185,5.41727672035139
2019,"University of Auckland","closed",3192,56.8376068376068
2019,"University of Auckland","gold",1014,18.0555555555556
2019,"University of Auckland","hybrid",558,9.93589743589744
2019,"University of Auckland","green",550,9.79344729344729
2019,"University of Auckland","bronze",302,5.37749287749288
2019,"Auckland University of Technology","closed",821,56.2714187799863
2019,"Auckland University of Technology","gold",314,21.5215901302262
2019,"Auckland University of Technology","hybrid",159,10.8978752570254
2019,"Auckland University of Technology","green",94,6.44276901987663
2019,"Auckland University of Technology","bronze",71,4.86634681288554
2019,"University of Waikato","closed",625,55.8534405719392
2019,"University of Waikato","gold",213,19.0348525469169
2019,"University of Waikato","hybrid",162,14.4772117962466
