"year","institution","country","key","count","pc"
2011,"University of Western Australia","au","diamond",19,0.526170036001108
2011,"University of Adelaide","au","closed",2102,67.9818887451488
2011,"University of Adelaide","au","bronze",398,12.8719275549806
2011,"University of Adelaide","au","green",294,9.50840879689521
2011,"University of Adelaide","au","gold",200,6.46830530401035
2011,"University of Adelaide","au","hybrid",81,2.61966364812419
2011,"University of Adelaide","au","diamond",17,0.54980595084088
2011,"Monash University","au","closed",4349,71.8605419695968
2011,"Monash University","au","bronze",750,12.3925974884336
2011,"Monash University","au","green",431,7.12161269001983
2011,"Monash University","au","gold",344,5.68407138136153
2011,"Monash University","au","hybrid",144,2.37937871777925
2011,"Monash University","au","diamond",34,0.561797752808989
2011,"UNSW Sydney","au","closed",4577,73.3258570970843
2011,"UNSW Sydney","au","bronze",651,10.4293495674463
2011,"UNSW Sydney","au","green",477,7.64178148029478
2011,"UNSW Sydney","au","gold",348,5.57513617430311
2011,"UNSW Sydney","au","hybrid",137,2.19480935597565
2011,"UNSW Sydney","au","diamond",52,0.833066324895867
2012,"University of Auckland","nz","closed",2504,70.1990468180544
2012,"University of Auckland","nz","bronze",360,10.0925147182506
2012,"University of Auckland","nz","green",302,8.46649845808803
2012,"University of Auckland","nz","gold",247,6.92458648724418
2012,"University of Auckland","nz","hybrid",92,2.57919820577516
2012,"University of Auckland","nz","diamond",62,1.73815531258761
2012,"Auckland University of Technology","nz","closed",529,73.0662983425414
2012,"Auckland University of Technology","nz","green",79,10.9116022099448
2012,"Auckland University of Technology","nz","bronze",57,7.87292817679558
2012,"Auckland University of Technology","nz","gold",33,4.55801104972376
2012,"Auckland University of Technology","nz","hybrid",15,2.07182320441989
2012,"Auckland University of Technology","nz","diamond",11,1.51933701657459
2012,"University of Waikato","nz","closed",643,72.3284589426322
2012,"University of Waikato","nz","green",95,10.6861642294713
2012,"University of Waikato","nz","bronze",85,9.56130483689539
2012,"University of Waikato","nz","diamond",25,2.81214848143982
2012,"University of Waikato","nz","gold",24,2.69966254218223
2012,"University of Waikato","nz","hybrid",17,1.91226096737908
2012,"Massey University","nz","closed",1116,76.0217983651226
2012,"Massey University","nz","bronze",149,10.149863760218
2012,"Massey University","nz","gold",76,5.17711171662125
2012,"Massey University","nz","green",70,4.76839237057221
2012,"Massey University","nz","hybrid",40,2.72479564032698
2012,"Massey University","nz","diamond",17,1.15803814713896
2012,"Victoria University of Wellington","nz","closed",1022,74.54412837345
2012,"Victoria University of Wellington","nz","bronze",131,9.55506929248724
2012,"Victoria University of Wellington","nz","green",130,9.48212983223924
2012,"Victoria University of Wellington","nz","gold",48,3.50109409190372
2012,"Victoria University of Wellington","nz","diamond",20,1.45878920495988
2012,"Victoria University of Wellington","nz","hybrid",20,1.45878920495988
2012,"University of Canterbury","nz","closed",1010,70.4323570432357
2012,"University of Canterbury","nz","bronze",161,11.2273361227336
2012,"University of Canterbury","nz","green",136,9.48396094839609
2012,"University of Canterbury","nz","gold",84,5.85774058577406
2012,"University of Canterbury","nz","hybrid",31,2.16178521617852
2012,"University of Canterbury","nz","diamond",12,0.836820083682008
2012,"Lincoln University","nz","closed",236,65.1933701657459
2012,"Lincoln University","nz","bronze",53,14.6408839779006
2012,"Lincoln University","nz","gold",30,8.28729281767956
2012,"Lincoln University","nz","green",27,7.4585635359116
2012,"Lincoln University","nz","hybrid",14,3.86740331491713
2012,"Lincoln University","nz","diamond",2,0.552486187845304
2012,"University of Otago","nz","closed",1589,65.4987633965375
2012,"University of Otago","nz","bronze",374,15.4163231657049
2012,"University of Otago","nz","gold",199,8.20280296784831
2012,"University of Otago","nz","green",151,6.2242374278648
2012,"University of Otago","nz","hybrid",67,2.76174773289365
2012,"University of Otago","nz","diamond",46,1.89612530915087
2012,"University of Melbourne","au","closed",4803,61.790814357391
2012,"University of Melbourne","au","bronze",1007,12.9551009906085
2012,"University of Melbourne","au","green",841,10.8195034092371
2012,"University of Melbourne","au","gold",742,9.5458638878168
2012,"University of Melbourne","au","hybrid",297,3.8209185642609
2012,"University of Melbourne","au","diamond",83,1.06779879068571
2012,"Australian National University","au","closed",2864,63.6585907979551
2012,"Australian National University","au","green",690,15.3367414981107
2012,"Australian National University","au","bronze",536,11.9137586130251
2012,"Australian National University","au","gold",243,5.40120026672594
2012,"Australian National University","au","hybrid",96,2.13380751278062
2012,"Australian National University","au","diamond",70,1.55590131140253
2012,"University of Sydney","au","closed",5681,66.5846225972808
2012,"University of Sydney","au","bronze",1165,13.6544772620722
2012,"University of Sydney","au","green",696,8.15752461322082
2012,"University of Sydney","au","gold",635,7.44256915142991
2012,"University of Sydney","au","hybrid",277,3.24660103141116
2012,"University of Sydney","au","diamond",78,0.914205344585091
2012,"University of Queensland","au","closed",4801,66.1841742486904
2012,"University of Queensland","au","bronze",861,11.8693134822167
2012,"University of Queensland","au","gold",693,9.55334987593052
2012,"University of Queensland","au","green",584,8.05073063137579
2012,"University of Queensland","au","hybrid",259,3.57044389302454
2012,"University of Queensland","au","diamond",56,0.771987868762062
2012,"University of Western Australia","au","closed",2591,64.0543881334981
2012,"University of Western Australia","au","bronze",584,14.4375772558714
2012,"University of Western Australia","au","green",393,9.71569839307787
2012,"University of Western Australia","au","gold",327,8.0840543881335
2012,"University of Western Australia","au","hybrid",135,3.33745364647713
2012,"University of Western Australia","au","diamond",15,0.370828182941904
2012,"University of Adelaide","au","closed",2345,65.2294853963839
2012,"University of Adelaide","au","bronze",465,12.9346314325452
2012,"University of Adelaide","au","green",327,9.09596662030598
2012,"University of Adelaide","au","gold",286,7.95549374130737
2012,"University of Adelaide","au","hybrid",143,3.97774687065369
2012,"University of Adelaide","au","diamond",29,0.806675938803894
2012,"Monash University","au","closed",4239,66.8085106382979
2012,"Monash University","au","bronze",964,15.1930654058314
2012,"Monash University","au","green",477,7.5177304964539
2012,"Monash University","au","gold",461,7.2655634357762
2012,"Monash University","au","hybrid",173,2.72655634357762
2012,"Monash University","au","diamond",31,0.488573680063042
2012,"UNSW Sydney","au","closed",4800,69.4444444444444
2012,"UNSW Sydney","au","bronze",708,10.2430555555556
2012,"UNSW Sydney","au","green",597,8.63715277777778
2012,"UNSW Sydney","au","gold",571,8.26099537037037
2012,"UNSW Sydney","au","hybrid",160,2.31481481481481
2012,"UNSW Sydney","au","diamond",76,1.09953703703704
2013,"University of Auckland","nz","closed",2664,67.4259681093394
2013,"University of Auckland","nz","bronze",440,11.1364211592002
2013,"University of Auckland","nz","green",349,8.83320678309289
2013,"University of Auckland","nz","gold",318,8.04859529233106
2013,"University of Auckland","nz","hybrid",107,2.70817514553278
2013,"University of Auckland","nz","diamond",73,1.84763351050367
2013,"Auckland University of Technology","nz","closed",624,71.5596330275229
2013,"Auckland University of Technology","nz","green",87,9.97706422018349
2013,"Auckland University of Technology","nz","bronze",73,8.37155963302752
2013,"Auckland University of Technology","nz","gold",51,5.84862385321101
