"year","institution","abbrev","country","key","count","pc"
2017,"UNSW Sydney","UNSWS","au","green",1378,14.535864978903
2017,"UNSW Sydney","UNSWS","au","gold",1201,12.668776371308
2017,"UNSW Sydney","UNSWS","au","bronze",972,10.253164556962
2017,"UNSW Sydney","UNSWS","au","hybrid",345,3.63924050632911
2017,"UNSW Sydney","UNSWS","au","diamond",128,1.35021097046413
2017,"The University of Melbourne","UM","au","closed",5177,47.6221138809677
2017,"The University of Melbourne","UM","au","green",1788,16.44742893938
2017,"The University of Melbourne","UM","au","gold",1598,14.6996596449269
2017,"The University of Melbourne","UM","au","bronze",1573,14.4696900009199
2017,"The University of Melbourne","UM","au","hybrid",520,4.78336859534541
2017,"The University of Melbourne","UM","au","diamond",215,1.97773893846012
2017,"The University of Sydney","US","au","closed",5703,53.1797836628124
2017,"The University of Sydney","US","au","bronze",1524,14.2111152555017
2017,"The University of Sydney","US","au","gold",1497,13.9593435285341
2017,"The University of Sydney","US","au","green",1374,12.8123834390153
2017,"The University of Sydney","US","au","hybrid",434,4.04699738903394
2017,"The University of Sydney","US","au","diamond",192,1.79037672510257
2017,"The University of Queensland","UQ","au","closed",5226,56.3389391979301
2017,"The University of Queensland","UQ","au","gold",1430,15.4161276412247
2017,"The University of Queensland","UQ","au","bronze",1075,11.5890470030185
2017,"The University of Queensland","UQ","au","green",1070,11.5351444588185
2017,"The University of Queensland","UQ","au","hybrid",345,3.71927554980595
2017,"The University of Queensland","UQ","au","diamond",130,1.40146614920224
2017,"The University of Western Australia","UWA","au","closed",2545,47.9645684131172
2017,"The University of Western Australia","UWA","au","green",881,16.6038447041086
2017,"The University of Western Australia","UWA","au","gold",785,14.794572182435
2017,"The University of Western Australia","UWA","au","bronze",784,14.7757255936675
2017,"The University of Western Australia","UWA","au","hybrid",231,4.35356200527704
2017,"The University of Western Australia","UWA","au","diamond",80,1.50772710139465
2017,"Monash University","MAU","au","closed",5346,54.9547697368421
2017,"Monash University","MAU","au","bronze",1429,14.6895559210526
2017,"Monash University","MAU","au","green",1245,12.7981085526316
2017,"Monash University","MAU","au","gold",1200,12.3355263157895
2017,"Monash University","MAU","au","hybrid",364,3.74177631578947
2017,"Monash University","MAU","au","diamond",144,1.48026315789474
2017,"The University of Adelaide","UA","au","closed",2530,54.9522154648132
2017,"The University of Adelaide","UA","au","bronze",615,13.3579496090356
2017,"The University of Adelaide","UA","au","gold",614,13.3362293657689
2017,"The University of Adelaide","UA","au","green",545,11.8375325803649
2017,"The University of Adelaide","UA","au","hybrid",204,4.43092962641182
2017,"The University of Adelaide","UA","au","diamond",96,2.08514335360556
2017,"Australian National University","ANU","au","closed",2606,47.0651977605201
2017,"Australian National University","ANU","au","green",1064,19.2161820480405
2017,"Australian National University","ANU","au","bronze",922,16.6516163987719
2017,"Australian National University","ANU","au","gold",570,10.2943832400217
2017,"Australian National University","ANU","au","hybrid",269,4.85822647643128
2017,"Australian National University","ANU","au","diamond",106,1.91439407621456
2017,"University of Auckland","UOA","nz","closed",2659,57.0845856590812
2017,"University of Auckland","UOA","nz","gold",593,12.7307857449549
2017,"University of Auckland","UOA","nz","green",590,12.6663804207815
2017,"University of Auckland","UOA","nz","bronze",538,11.5500214684414
2017,"University of Auckland","UOA","nz","hybrid",208,4.46543580936024
2017,"University of Auckland","UOA","nz","diamond",70,1.50279089738085
2017,"University of Otago","UO","nz","closed",1772,55.6707508639648
2017,"University of Otago","UO","nz","gold",496,15.5827835375432
2017,"University of Otago","UO","nz","bronze",385,12.095507382972
2017,"University of Otago","UO","nz","green",312,9.80207351555137
2017,"University of Otago","UO","nz","hybrid",155,4.86961985548225
2017,"University of Otago","UO","nz","diamond",63,1.97926484448633
2017,"Victoria University of Wellington","VUW","nz","closed",1342,62.7983153954141
2017,"Victoria University of Wellington","VUW","nz","green",300,14.0383715489003
2017,"Victoria University of Wellington","VUW","nz","bronze",204,9.54609265325222
2017,"Victoria University of Wellington","VUW","nz","gold",172,8.04866635470285
2017,"Victoria University of Wellington","VUW","nz","hybrid",77,3.60318203088442
2017,"Victoria University of Wellington","VUW","nz","diamond",42,1.96537201684605
2017,"Massey University","MU","nz","closed",1242,61.6683217477656
2017,"Massey University","MU","nz","gold",257,12.7606752730884
2017,"Massey University","MU","nz","bronze",191,9.48361469712016
2017,"Massey University","MU","nz","green",191,9.48361469712016
2017,"Massey University","MU","nz","hybrid",94,4.66732869910626
2017,"Massey University","MU","nz","diamond",39,1.9364448857994
2017,"University of Canterbury","UC","nz","closed",850,56.1797752808989
