"institution_name","publication_year","oa_status","count","percent"
"The University of Melbourne",2026,"bronze",147,0.0215
"The University of Melbourne",2026,"closed",1737,0.2539
"The University of Melbourne",2026,"diamond",421,0.0615
"The University of Melbourne",2026,"gold",1617,0.2363
"The University of Melbourne",2026,"green",710,0.1038
"The University of Melbourne",2026,"hybrid",2210,0.323
"The University of Queensland",2021,"bronze",1022,0.0901
"The University of Queensland",2021,"closed",4988,0.4396
"The University of Queensland",2021,"diamond",426,0.0375
"The University of Queensland",2021,"gold",2785,0.2455
"The University of Queensland",2021,"green",1331,0.1173
"The University of Queensland",2021,"hybrid",794,0.07
"The University of Queensland",2022,"bronze",649,0.0599
"The University of Queensland",2022,"closed",3937,0.3632
"The University of Queensland",2022,"diamond",501,0.0462
"The University of Queensland",2022,"gold",2822,0.2603
"The University of Queensland",2022,"green",1015,0.0936
"The University of Queensland",2022,"hybrid",1916,0.1768
"The University of Queensland",2023,"bronze",818,0.0802
"The University of Queensland",2023,"closed",2668,0.2616
"The University of Queensland",2023,"diamond",579,0.0568
"The University of Queensland",2023,"gold",2496,0.2447
"The University of Queensland",2023,"green",625,0.0613
"The University of Queensland",2023,"hybrid",3014,0.2955
"The University of Queensland",2024,"bronze",738,0.0727
"The University of Queensland",2024,"closed",2616,0.2578
"The University of Queensland",2024,"diamond",646,0.0637
"The University of Queensland",2024,"gold",2499,0.2462
"The University of Queensland",2024,"green",457,0.045
"The University of Queensland",2024,"hybrid",3193,0.3146
"The University of Queensland",2025,"bronze",584,0.0573
"The University of Queensland",2025,"closed",2876,0.282
"The University of Queensland",2025,"diamond",632,0.062
"The University of Queensland",2025,"gold",2475,0.2427
"The University of Queensland",2025,"green",435,0.0427
"The University of Queensland",2025,"hybrid",3197,0.3135
"The University of Queensland",2026,"bronze",106,0.0186
"The University of Queensland",2026,"closed",1666,0.2922
"The University of Queensland",2026,"diamond",289,0.0507
"The University of Queensland",2026,"gold",1342,0.2354
"The University of Queensland",2026,"green",431,0.0756
"The University of Queensland",2026,"hybrid",1867,0.3275
"The University of Sydney",2021,"bronze",1206,0.0933
"The University of Sydney",2021,"closed",5746,0.4447
"The University of Sydney",2021,"diamond",581,0.045
"The University of Sydney",2021,"gold",2830,0.219
"The University of Sydney",2021,"green",1688,0.1307
"The University of Sydney",2021,"hybrid",869,0.0673
"The University of Sydney",2022,"bronze",733,0.0608
"The University of Sydney",2022,"closed",4746,0.3934
"The University of Sydney",2022,"diamond",608,0.0504
"The University of Sydney",2022,"gold",2770,0.2296
"The University of Sydney",2022,"green",1347,0.1117
"The University of Sydney",2022,"hybrid",1860,0.1542
"The University of Sydney",2023,"bronze",1095,0.0892
"The University of Sydney",2023,"closed",4095,0.3334
"The University of Sydney",2023,"diamond",671,0.0546
"The University of Sydney",2023,"gold",2768,0.2254
"The University of Sydney",2023,"green",811,0.066
"The University of Sydney",2023,"hybrid",2842,0.2314
"The University of Sydney",2024,"bronze",1057,0.0844
"The University of Sydney",2024,"closed",3983,0.3179
"The University of Sydney",2024,"diamond",800,0.0638
"The University of Sydney",2024,"gold",2845,0.2271
"The University of Sydney",2024,"green",627,0.05
"The University of Sydney",2024,"hybrid",3218,0.2568
"The University of Sydney",2025,"bronze",757,0.0589
